schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
FIRSTCANUTREVOLT;\n\nLyon, a city dominated by silk-based manufacturing, has descended into chaos in the wake of riots by silk workers, who are known in French as canuts. The workers, reacting to a drop in wages, are demanding a minimum price to be imposed on silk products and seized weapons from the national guard to enforce this demand. They soon engaged the national guard and the military in battle, leaving Lyon entirely in their hands. However, the government was able to retake the city without further bloodshed and without conceding to the workers' demands.;;;;;;;;;;;;;
france_bullies_algeria_title;The Conquest of Algiers;;;;;;;;;;;;;
france_bullies_algeria_desc;Tension between France and the Deylik of Algiers, an autonomous part of the Ottoman Empire, has escalated due to Algerian pirates raiding European ships. With these Barbary Pirates being a major thorn in our backside, it's about time we show them their place and conquer Algiers for ourselves. We even have the perfect casus belli: a provocation by Hussein Bey, who struck the French consul, Pierre Deval, with a fan during a heated argument over both countries' trade debts to each other.;;;;;;;;;;;;;
CONCEPCIONEARTHQUAKE;\n\nA devastating earthquake has hit Concepción and nearby Talcahuano today at 11:30 AM. The quake combined with a resulting tsunami have left Concepción destroyed, with most buildings in ruins. Miraculously, though, casualties have remained low, with only 50 people reported dead. The lack of deaths is attributable to how the quake was slow to intensify and happened at about high noon, allowing locals to get to safety in time. Charles Darwin happened to be in Concepción as the earthquake struck, on a stop for the second voyage of the HMS Beagle. He would describe the quake as such: "I happened to be on shore, and was lying down in the wood to rest myself. It came on suddenly, and lasted two minutes, but the time appeared much longer. The rocking of the ground was very sensible . . . The people rushed out of doors in the greatest alarm. It is these accompaniments that create that perfect horror of earthquakes, experienced by all who have thus seen, as well as felt, their effects.";;;;;;;;;;;;;
PHILIPE1ASE1;\n\nAn assassination attempt was made on King Louis-Philippe today at the hands of Republican terrorists. During a royal procession held near the Place de la République in Paris, conspirators Giuseppe Marco Fieschi, Theodore Pépin, and Philippe Morey discharged a homemade volley gun with 25 barrels at the King and his soldiers. The barrage killed 18 people but only minorly wounded Louis-Philippe, and Fieschi was immediately captured. \n\nIt has since then been discovered that four barrels of the volley gun did not fire due to the components' failure. Surely more would have died, including the King, had the weapon worked as intended. Fieschi is imprisoned and awaiting trial, while Pépin and Morey are still at large.;;;;;;;;;;;;;
start_the_chaos_srn_title;Expand our Principality;;;;;;;;;;;;;
start_the_chaos_srn_desc;We were established in 1399 and subjugated by the Turks in 1554. We have stayed their peaceable vassal for several centuries, but Mir Mohammed has other plans - the expansion of our army and land. A good first step should be taking on the emirate to our north, Bahdinan.;;;;;;;;;;;;;
BAHDINANISSORAN;\n\nSoran was established in 1399 and subjugated by the Turks in 1554. Lately, they have begun waging war on neighboring principalities, hoping to become the dominant Kurdish tribe. They have reached our borderlands and issued an ultimatum - surrender or face the consequences.;;;;;;;;;;;;;
BAHDINANISNTTUR;\n\nOur vassal, the Soran Emirate, had suspiciously been building up its army without an apparent reason. A week ago, their armies entered our vassal to their north, Bahdinan, and since then they have been at war. Soran still is a loyal vassal on paper, but it could easily devolve into a war for independence very soon. As concerning as the situation is, must we delay intervention, we will be better prepared to put down Soran, and Bahdinan had never been too loyal anyway, as the local Yazidis have influence in their government.;;;;;;;;;;;;;
BAHDINANISTUR;\n\nOur vassal, the Soran Emirate, had suspiciously been building up its army without an apparent reason. Today, their armies have entered our vassal to their north, Bahdinan, and advanced. Soran still is a loyal vassal on paper, but it could easily devolve into a war for independence very soon. Bahdinan has asked for our intervention to conserve the stability of the Qajar-Ottoman border and the balance of power of the Kurdish principalities.;;;;;;;;;;;;;
conquer_kirkuk_title;Conquer Kirkük;;;;;;;;;;;;;
conquer_kirkuk_desc;The Baban Emirate has always sought to weaken our state and once occupied half of our lands. Their emir is greedy and is allied with the Yazidis, to whom he grants amnesties and asylum. The people of Kirkük are constantly oppressed by Baban, and factions of the local militias have signaled that they'd join our offensive. It might be time to fix the greatest error the Soran Emirate has ever done - letting Baban exist.;;;;;;;;;;;;;
BABANISSORAN;\n\nBaban was once a great emirate that ruled lands in what is now Soran and Ardalan, but the greed of the Ottoman and Qajar Empires and the contemporary rise in Soran's power have made us weaker and weaker. Today, Sorani troops have crossed the border in the north and into Kerkûk and militias in the region are siding with the invader. Our situation is precarious, but the Ottomans are distracted elsewhere, and their delayed response could bring suffering to the rest of the Ottoman Kurdish population.;;;;;;;;;;;;;
BABANISNTTUR;\n\nBaban was once a great emirate that ruled lands in what is now Soran and Ardalan, but their constant rebellions made them lose land to their neighbors through our and the Qajar's favors. Today, Sorani troops have crossed into Kerkûk, Baban, and are preparing to lay siege to the city. The Baban Emir has insisted that we don't intervene, and our army is not in conditions to attack Soran. Must we delay intervention, we will be better prepared to put down Soran, and we had already studied a campaign to pacify Baban's infidel Yarsinian and Yazidi populations, which influence their government, so this invasion in reality is a favor to our administration.;;;;;;;;;;;;;
BABANISTUR;\n\nBaban was once a great emirate that ruled lands in what is now Soran and Ardalan, but their constant rebellions made them lose land to their neighbors through our and the Qajar's favors. Today, Sorani troops have crossed into Kerkûk, Baban, and are preparing to lay siege to the city. The Baban Emir has insisted that we intervene to end the Sorani army's expansion throughout Kurdistan, but our army is not in the best of shapes...;;;;;;;;;;;;;
ally_bohtan_singal_title;Ally Bohtan and take Tasini;;;;;;;;;;;;;
ally_bohtan_singal_desc;The Bohtan are a powerful emirate that rules the city of Cizre and its surroundings, including Zaco. Their ruler, Bedir Khan Beg, also wants to liberate Kurdistan from Ottoman hands and has a similar approach. The lands of Singal are full of Yazidis that raid both their and our lands, and together we will be able to stop them.;;;;;;;;;;;;;
SORANWANTSTOKILLYAZIDISAGAINWHYYY;\n\nThe Soran Emirate has sent a request for an alliance between our two nations against the Yazidi nation of Tasini. In exchange for our support and ceding Zaco, we will become their allies and fight together against the Ottomans. Should we accept we are expected to send troops to help with the invasion of Tasini. We, though, have to be careful with Soran's ruler, as his greed will grow the more land he takes.;;;;;;;;;;;;;
ALLIANCETASINIGOODLUCK;\n\nBohtan has agreed to our alliance to liberate our borders from the Yazidi of Tasini. They are expected to send their troops to Sinjar, but they might take some days to mobilize their army. Regardless, with this alliance we will be able to successfully fend off any Ottoman incursion!;;;;;;;;;;;;;
TASINIISSORAN;\n\nSoran has sent their army to our border and declared war to 'pacify our Yazidi population.' Their genocidal intentions are clear from miles away, but our chances to survive are few - the Ottomans support such an invasion and have looked the other way to most of their invasions.;;;;;;;;;;;;;
TASINIISNTTUR;\n\nThe Soran Emirate has launched an invasion once more, this time towards Tasini and its Yazidi population. They are prone to rebellion, so any pacification of the region would actually be beneficial to our cause. Bohtan seems to agree with this stance, and some of their militias are present in the Sorani armies, so we might want to hold our horses for some more months.;;;;;;;;;;;;;
TASINIISTUR;\n\nThe Soran Emirate has launched an invasion once more, this time towards Tasini and its Yazidi population. They are prone to rebellion, so any pacification of the region would actually be beneficial to our cause. This stance, though, might be making our rule in Kurdistan weaker and weaker, so an intervention would put an end to this trend - if we were to win.;;;;;;;;;;;;;
TASINIWARBOHTAN;\n\nThe Soran Emirate has asked that our armies join them in their invasion of Tasini, but moving our armies from Cizre might make us more vulnerable to an invasion by them. Soran has signaled to its local allies that we are not to be trusted, so we should be cautious.;;;;;;;;;;;;;
BOHTANALLIANCENO;\n\nThe Bohtan Emirate has refused to sign any alliances that contain ceding Zaco, ending any and all negotiations. They cite that their territorial integrity is key to a working relationship with our nation and that under no circumstances would they sign 'such a one-sided treaty.' The Ottomans are clearly behind this act, as their emir would never write like this to our great emir.;;;;;;;;;;;;;
BOHTANALLIANCELEAVE;\n\nBohtan has not sent significant forces to their border with Tasini for days now, and today they have sent an envoy saying that the Emir has left our alliance. Bohtan's emir might think we are traitors, but this is clearly a sign of the opposite.;;;;;;;;;;;;;
kill_bohtan_title;Occupy Bohtan;;;;;;;;;;;;;
kill_bohtan_desc;The Bohtan Emirate is no more than a roadblock in our successful campaigns, and their Emir is constantly collaborating with the enemy. To realize our ultimate goal - we must end Bohtan's autonomy once and for all.;;;;;;;;;;;;;
BOHTANISSORAN;\n\nSoran has started a campaign to turn us into their satellite, as they deem us 'untrustworthy.' Our state is in grave peril, and the Soran Emirate is very powerful. We must ask the Ottoman Empire for help, or our population will suffer this occupation greatly.;;;;;;;;;;;;;
BOHTANISNTTUR;\n\nThe Bohtan Emirate has defied our rule more than once, and their recent actions in their alliance with Soran have confirmed our view of Cizre. Today, Sorani troops have crossed into the Bohtan Emirate in the Sorani's goal to centralize our Kurdish possessions. If we were to let them continue, they might end up annexing the entirety of our Kurdish emirates and principalities, and the more they conquer, the stronger they become. It might be time to intervene to end this trend.;;;;;;;;;;;;;
BOHTANISTUR;\n\nThe Bohtan Emirate has defied our rule more than once, and their recent actions in their alliance with Soran have confirmed our view of Cizre. Today, Sorani troops have crossed into the Bohtan Emirate in the Sorani's goal to centralize our Kurdish possessions. If we were to let them continue, they might end up annexing the entirety of our Kurdish emirates and principalities, and the more they conquer, the stronger they become. It might be time to intervene to end this trend.;;;;;;;;;;;;;
TURLOSTOHGOD;\n\nOur great and powerful army has lost against the Emirate of Soran, a puny and defenseless statelet and a rump shell of a nation. This should not repeat itself, or we'll find ourselves encircled on all sides by the European powers.;;;;;;;;;;;;;
SORANWONHELLNO;\n\nIn a great show of military prowess, our Kurdish state, deemed by many powers as weak and illegitimate, has won a war against the Great Ottoman Empire. This victory will be celebrated for centuries to come, starting today.;;;;;;;;;;;;;
SORANLOSTOHGOD;\n\nOur army has lost in the field of battle, no hope is left for our people and for the destiny of Kurdistan. We hope that our lands will someday be liberated from the hands of the Ottomans.;;;;;;;;;;;;;
TURWONSOMETHINGLESFGO;\n\nOur great and invincible army has defeated the armies of the Emirate of Soran, and it is now up to us what will happen with what is left from it. What is for sure is that the Soran Emirate must be permanently pacified so they never pose a threat to us anymore.;;;;;;;;;;;;;
